newsHeadline,sentiment,preprocessed_txt
The fuel purchase contracts have been signed with three months ' delivery from this September to November .,neutral,fuel purchase contract signed three month delivery september november
Tiimari operates 194 stores in six countries -- including its core Finnish market -- and generated a turnover of 76.5 mln eur in 2005 .,neutral,tiimari operates 194 store six country including core finnish market generated turnover 765 mln eur 2005
Under this agreement Biohit becomes a focus supplier of pipettors and disposable pipettor tips to VWR customers throughout Europe .,positive,agreement biohit becomes focus sincreaseplier pipettors disposable pipettor tip vwr customer throughout europe
"The combination of all services enabling us to offer a complex and strengthened service chain not only limited to the Baltic port connections but also for getting access to the world wide Grimaldi Network into the Mediterranean , Africa and North America `` says Uwe Bakosch .",positive,combination service enabling u offer complex strengthened service chain limited baltic port connection getting access world wide grimaldi network mediterranean africa north america say uwe bakosch
No blind-spots coming from 1 vantage point allows investigators to see the whole story in high resolution with no unbroken video .,neutral,blindspots coming 1 vantage point allows investigator see whole story high resolution unbroken video
"The company still expects its turnover in 2010 to slightly increase from the level of 2009 , adding that `` market predictability is still too poor for trustworthy forecasts on the market development of the contract manufacturing business during the current year '' .",positive,company still expects turnover 2010 slightly increase level 2009 adding market predictability still poor trustworthy forecast market development contract manufacturing business current
The acquisition will considerably increase Kemira 's sales and market position in the Russian metal industry coatings market .,positive,acquisition considerably increase kemira sale market position russian metal industry coating market
"In January-September 2007 , Finnlines ' net sales rose to EUR 505.4 mn from EUR 473.5 mn in the corresponding period in 2006 .",positive,januaryseptember 2007 finnlines net sale rose eur 5054 mn eur 4735 mn corresponding period 2006
"Adjusted for changes in the Group structure , the Division 's net sales increased by 1.7 % .",positive,adjusted change groincrease structure division net sale increased 17 percent
"`` The change will optimize the operational efficiencies of our growing business , '' said Julia Prohaska , director of marketing communications for Fiskars .",positive,change optimize operational efficiency growing business said julia prohaska director marketing communication fiskars
"`` They would invest not only in the physical infrastructure , but would also provide know-how for managing and developing science and technology parks , '' said Sunrise Valley director Andrius Bagdonas .",positive,invest physical infrastructure provide knowhow managing developing science technology park said sunrise valley director andrius bagdonas
"4 February 2011 - Finnish broadband data communication systems provider Teleste Oyj HEL : TLT1V saw its net profit jump to EUR2 .1 m for the last quarter of 2010 from EUR995 ,000 for the same period of 2009 .",positive,4 february 2011 finnish broadband data communication system provider teleste oyj hel tlt1v saw net profit jump eur2 1 last quarter 2010 eur995 000 period 2009
Finnish Aktia Group 's operating profit rose to EUR 17.5 mn in the first quarter of 2010 from EUR 8.2 mn in the first quarter of 2009 .,positive,finnish aktia groincrease operating profit rose eur 175 mn first quarter 2010 eur 82 mn first quarter 2009
Finnish Bank of +_land 's consolidated net operating profit increased from EUR 4.8 mn in the first quarter of 2005 to EUR 6.4 mn in the first quarter of 2006 .,positive,finnish bank _land consolidated net operating profit increased eur 48 mn first quarter 2005 eur 64 mn first quarter 2006
"Finnish financial group Aktia reports operating profit of EUR 44.4 mn in January-September 2009 , up from EUR 37.3 mn in the corresponding period in 2008 .",positive,finnish financial groincrease aktia report operating profit eur 444 mn januaryseptember 2009 increase eur 373 mn corresponding period 2008
"Finnish high technology provider Vaahto Group reports net sales of EUR 41.8 mn in the accounting period September 2007 - February 2008 , an increase of 11.2 % from a year earlier .",positive,finnish high technology provider vaahto groincrease report net sale eur 418 mn accounting period september 2007 february 2008 increase 112 percent earlier
Net sales of Finnish food industry company L+Ænnen Tehtaat 's continuing operations increased by 13 % in 2008 to EUR 349.1 mn from EUR 309.6 mn in 2007 .,positive,net sale finnish food industry company lænnen tehtaat continuing operation increased 13 percent 2008 eur 3491 mn eur 3096 mn 2007
An individual promotion also generated slightly higher-than-expected revenues .,positive,individual promotion generated slightly higherthanexpected revenue
Biohit already services many current Genesis customers and the customer base is expected to expand as a result of this agreement .,positive,biohit already service many current genesis customer customer base expected expand result agreement
"Both operating profit and turnover for the three-month period increased , respectively from EUR0 .9 m and EUR8 .3 m , as compared to the corresponding period in 2005 .",positive,operating profit turnover threemonth period increased respectively eur0 9 eur8 3 compared corresponding period 2005
Circulation revenue has increased by 5 % in Finland and 4 % in Sweden in 2008 .,positive,circulation revenue increased 5 percent finland 4 percent sweden 2008
Clothing chain Sepp+Æl+Æ 's net sales increased by 7.0 % to EUR 30.8 mn .,positive,clothing chain seppælæ net sale increased 70 percent eur 308 mn
Construction volumes meanwhile grow at a rate of 10-15 percent annually .,positive,construction volume meanwhile grow rate 1015 percent annually
Finnish and Swedish construction markets are still experiencing an estimated 4 % annual growth in 2008 .,positive,finnish swedish construction market still experiencing estimated 4 percent annual growth 2008
"However , Biohit estimates its total net sales will continue to grow in 2009 , and that favourable trends in net sales will lead to a profit in 2009 .",positive,however biohit estimate total net sale continue grow 2009 favourable trend net sale lead profit 2009
"In 2009 , Fiskars ' cash flow from operating activities amounted to EUR121m , up from EUR97m in the previous year .",positive,2009 fiskars cash flow operating activity amounted eur121m increase eur97m previous
"In Lithuania , operating profit rose to EUR 190,000 from EUR 70,000 in the corresponding period in 2005 .",positive,lithuania operating profit rose eur 190000 eur 70000 corresponding period 2005
"In the fourth quarter of 2008 , net sales increased by 2 % to EUR 1,050.7 mn from EUR 1,027.0 mn in the fourth quarter of 2007 .",positive,fourth quarter 2008 net sale increased 2 percent eur 10507 mn eur 10270 mn fourth quarter 2007
"International sales rose by 59.8 % to EUR 1,244.4 mn .",positive,international sale rose 598 percent eur 12444 mn
Kalmar Espana generated net sales of some 11.3 mln euro $ 14.8 mln in 2005 .,neutral,kalmar espana generated net sale 113 mln euro dollar 148 mln 2005
Net sales grew in the period to  x20ac 402 million $ 585US million from  x20ac 401 million in 2006 .,positive,net sale grew period x20ac 402 million dollar 585us million x20ac 401 million 2006
Net sales increased to EUR655m in April to June 2010 from EUR438m a year earlier .,positive,net sale increased eur655m april june 2010 eur438m earlier
"Net sales rose by 25.5 % year-on-year to EUR59 .6 m , as the number of chargers delivered went up by 41 % to 65.9 million pieces .",positive,net sale rose 255 percent yearonyear eur59 6 number charger delivered went increase 41 percent 659 million piece
"Net sales totaled EUR 93.6 mn , up from EUR 93.2 mn in the corresponding period in 2005 .",positive,net sale totaled eur 936 mn increase eur 932 mn corresponding period 2005
"Nokia also noted the average selling price of handsets declined during the period , though its mobile phone profit margin rose to more than 22 percent from 13 percent in the year-ago quarter .",positive,nokia noted average selling price handset declined period though mobile phone profit margin rose 22 percent 13 percent yearago quarter
Operating profit increased by 145.1 % to EUR 8.3 mn from EUR 3.4 mn .,positive,operating profit increased 1451 percent eur 83 mn eur 34 mn
Operating profit margin increased from 11.2 % to 11.7 % .,positive,operating profit margin increased 112 percent 117 percent
Operating profit rose to EUR 3.11 mn from EUR 1.22 mn in the corresponding period in 2009 .,positive,operating profit rose eur 311 mn eur 122 mn corresponding period 2009
Operating profit rose to EUR 5mn from EUR 2.8 mn in the fourth quarter of 2008 .,positive,operating profit rose eur 5mn eur 28 mn fourth quarter 2008
"Operating profit was EUR 24.5 mn , up from EUR 23.0 mn .",positive,operating profit eur 245 mn increase eur 230 mn
"Ramirent 's net sales in the second quarterended June 30 were EURO 128.7 million about U.S. $ 163 million , a 3.3-percent increase compared with EURO 124.6 million for thesecond quarter last year .",positive,ramirent net sale second quarterended june 30 euro 1287 million u dollar 163 million 33percent increase compared euro 1246 million thesecond quarter last
"Revenue grew by 2 percent to  x20ac 580 million $ 743 million , from  x20ac 569 million .",positive,revenue grew 2 percent x20ac 580 million dollar 743 million x20ac 569 million
Ruukki announced that it has signed an agreement with Aker Solutions of Norway to supply 24 suction anchors in September 2010 from its Kalajoki unit in Finland .,positive,ruukki announced signed agreement aker solution norway sincreaseply 24 suction anchor september 2010 kalajoki unit finland
"Ruukki 's delivery volumes and selling prices showed favourable development and the company 's comparable net sales grew by 50 % year-on-year to EUR647m , CEO Sakari Tamminen said .",positive,ruukki delivery volume selling price showed favourable development company comparable net sale grew 50 percent yearonyear eur647m ceo sakari tamminen said
Sanoma Magazines ' net sales are estimated to grow in 2006 .,positive,sanoma magazine net sale estimated grow 2006
The bank forecasts Finland 's GDP will grow by 2 % in 2010 and in 2011 .,positive,bank forecast finland gdp grow 2 percent 2010 2011
"The circuit 's overall production rate on a weekly basis is now in excess of an average of 40,000 tonnes per day , with volumes in excess of 50,000 tonnes per day being reached on individual days .",positive,circuit overall production rate weekly basis excess average 40000 tonne per day volume excess 50000 tonne per day reached individual day
"The company 's consolidated operating profit amounted to EUR 15.86 mn , up from EUR 4.14 mn year-on-year .",positive,company consolidated operating profit amounted eur 1586 mn increase eur 414 mn yearonyear
The Department Store Division reported an increase in sales of 4 per cent .,positive,department store division reported increase sale 4 per cent
